"input_number","input","target_number","target","name","description","namespace"
20,"FBgn0052022","20.1","Q8T481","CG32022","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
21,"FBgn0083975","21.1","B6IDZ4","Nlg4","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
22,"FBgn0025878","22.1","Q9W260","wrapper","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
23,"FBgn0034326","23.1","A1ZB58","CG18540","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
24,"FBgn0032450","24.1","Q9VK63","CG5776","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
25,"FBgn0033312","25.1","A1Z7G6","CG8642","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
26,"FBgn0038576","26.1","A0A0B4KG83","Arp5","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
27,"FBgn0027873","27.1","None","None","None",""
28,"FBgn0035617","28.1","Q29R28","l(3)psg2","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
29,"FBgn0003447","29.1","A4V441","sn","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
30,"FBgn0034729","30.1","D3PFF3","CG10344","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
31,"FBgn0003559","31.1","None","None","None",""
32,"FBgn0033145","32.1","A8DY51","CG12828","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
33,"FBgn0036773","33.1","Q9VVN1","CG13698","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
34,"FBgn0020497","34.1","A0A0S0WNN6","emb","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
35,"FBgn0030721","35.1","Q8T4B9","CG12698","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
36,"FBgn0033529","36.1","Q7K2L7","CG17765","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
37,"FBgn0051959","37.1","None","None","None",""
38,"FBgn0030323","38.1","Q0KHT4","Vlet","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
39,"FBgn0033309","39.1","Q7K2N0","Lnpk","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
40,"FBgn0027084","40.1","G7H7Z0","LysRS","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
41,"FBgn0037936","41.1","A0A0B4KG94","CG6908","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
42,"FBgn0004363","42.1","M9PD75","porin","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
43,"FBgn0037885","43.1","A0A0B4K658","CG17721","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
44,"FBgn0003053","44.1","O46205","peb","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
45,"FBgn0034611","45.1","Q8MLW5","MFS16","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
46,"FBgn0051542","46.1","Q8MZB8","CG31542","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
47,"FBgn0028407","47.1","Q0E9B7","Drep3","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
48,"FBgn0050288","48.1","Q8IRK6","CG30288","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
49,"FBgn0261016","49.1","A8DQW8","clos","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
50,"FBgn0028381","50.1","Q9NHF9","Decay","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
51,"FBgn0031500","51.1","Q8IPZ3","CG17221","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
52,"FBgn0085374","52.1","A8DYR4","CG34345","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
53,"FBgn0259967","53.1","Q6IGA5","Sfp53D","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
54,"FBgn0039739","54.1","Q9VAB9","RpS28a","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
55,"FBgn0040087","55.1","A9YJR4","p115","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
56,"FBgn0050484","56.1","A1Z9I2","CG30484","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
57,"FBgn0053556","57.1","A8JNM1","form3","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
58,"FBgn0034380","58.1","None","None","None",""
59,"FBgn0038110","59.1","Q9VG04","CG8031","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
60,"FBgn0038820","60.1","Q9VDJ7","CG4000","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
61,"FBgn0036438","61.1","Q9VUG4","goddard","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
62,"FBgn0002781","62.1","A0A0B4K6B8","mod(mdg4)","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
63,"FBgn0029535","63.1","D3DMR0","CG14635","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
64,"FBgn0036972","64.1","None","None","None",""
65,"FBgn0035871","65.1","Q8IQA1","BI-1","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
66,"FBgn0261119","66.1","Q24055","Prp19","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
67,"FBgn0003964","67.1","M9PGS2","usp","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
68,"FBgn0024846","68.1","None","None","None",""
69,"FBgn0021761","69.1","None","None","None",""
70,"FBgn0010213","70.1","A0A0B4LGQ1","Sod2","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
71,"FBgn0038531","71.1","Q9VEH4","CG14325","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
72,"FBgn0029968","72.1","Q9W3P0","Ir7g","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
73,"FBgn0039531","73.1","Q9VB17","CG5611","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
74,"FBgn0032218","74.1","H1UUB0","CG5381","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
75,"FBgn0011829","75.1","D0UY77","Ret","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
76,"FBgn0002673","76.1","M9PBC2","twe","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
77,"FBgn0034986","77.1","Q9W199","mRpS17","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
78,"FBgn0020620","78.1","A0A0B4JD18","RN-tre","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
79,"FBgn0085396","79.1","A2RVG7","CG34367","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
80,"FBgn0035405","80.1","Q3KN35","CG15812","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
81,"FBgn0011710","81.1","Q540V5","Sep1","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
82,"FBgn0053093","82.1","Q4V4D2","CG33093","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
83,"FBgn0051404","83.1","Q8IN72","CG31404","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
84,"FBgn0033285","84.1","Q4V3X2","CG18449","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
85,"FBgn0010414","85.1","A0A0B4LHJ6","SerT","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
86,"FBgn0031335","86.1","A0AMI5","CG5565","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
87,"FBgn0028382","87.1","None","None","None",""
88,"FBgn0032096","88.1","E2E5P6","Or30a","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
89,"FBgn0085401","89.1","None","None","None",""
90,"FBgn0038678","90.1","E8NH38","mRpL55","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
91,"FBgn0034958","91.1","Q6IDE2","CG3907","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
92,"FBgn0034323","92.1","A1ZB55","CG18537","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
93,"FBgn0038609","93.1","B5RJQ1","Nup43","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
94,"FBgn0035501","94.1","M9PHC2","CG1299","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
95,"FBgn0031948","95.1","Q8T0S3","CG7149","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
96,"FBgn0033301","96.1","A0ZWY3","CG12780","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
97,"FBgn0053519","97.1","Q7K4Z6","Unc-89","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
98,"FBgn0031360","98.1","B5RJP0","CG31937","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
99,"FBgn0026380","99.1","C0MJU2","Prosbeta3","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
100,"FBgn0035312","100.1","Q8IGA3","CG15820","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
101,"FBgn0024728","101.1","D8FT17","Slip1","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
102,"FBgn0024984","102.1","O76886","CG3457","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
103,"FBgn0036153","103.1","Q8MS56","CG7573","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
104,"FBgn0038346","104.1","None","None","None",""
105,"FBgn0036156","105.1","Q9VTH9","CG11726","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
106,"FBgn0040290","106.1","Q9NH11","RecQ4","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
107,"FBgn0037455","107.1","C9QP95","CG2336","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
108,"FBgn0016684","108.1","Q7JZR4","NaPi-T","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
109,"FBgn0027596","109.1","A0A0B4JCT6","Kank","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
110,"FBgn0033095","110.1","Q8T043","chk","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
111,"FBgn0039065","111.1","A0A0B4KHP8","Rad60","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
112,"FBgn0033354","112.1","A1Z7L1","FANCI","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
113,"FBgn0085216","113.1","None","None","None",""
114,"FBgn0035229","114.1","Q8MQP7","pns","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
115,"FBgn0000355","115.1","None","None","None",""
116,"FBgn0025366","116.1","O76994","Ip259","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
117,"FBgn0052727","117.1","None","None","None",""
118,"FBgn0010240","118.1","None","None","None",""
119,"FBgn0037640","119.1","None","None","None",""
120,"FBgn0022740","120.1","O18374","HLH54F","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
121,"FBgn0028917","121.1","None","None","None",""
122,"FBgn0034345","122.1","A0A0B4K7G1","CG5174","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
123,"FBgn0027585","123.1","A0A0B4LEW1","CG8740","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
124,"FBgn0028513","124.1","Q9VJW8","CG9254","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
125,"FBgn0052676","125.1","A9YL02","stx","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
126,"FBgn0030494","126.1","Q9VYC1","Cpr12A","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
127,"FBgn0002036","127.1","B5RIP2","CG10561","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
128,"FBgn0035170","128.1","Q9W0L9","dpr20","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
129,"FBgn0031254","129.1","Q9VPP8","CG13692","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
130,"FBgn0032706","130.1","B7YZX2","Irk3","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
131,"FBgn0015035","131.1","A8E6N0","Cyp4e3","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
132,"FBgn0032775","132.1","Q95TH0","CG17544","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
133,"FBgn0003386","133.1","B7Z009","Shaw","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
134,"FBgn0038642","134.1","A0A0B4LID0","Muc91C","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
135,"FBgn0011760","135.1","A0A4D6K1L3","ctp","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
136,"FBgn0052803","136.1","M9PDI7","CG32803","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
137,"FBgn0039226","137.1","Q7KS11","Ude","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
138,"FBgn0035088","138.1","A0A0B4LHN1","CG3776","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
139,"FBgn0033443","139.1","B6CLF7","CG1698","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
140,"FBgn0003371","140.1","A4V3W1","sgg","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
141,"FBgn0030224","141.1","Q9W2S6","CG12637","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
142,"FBgn0004913","142.1","None","None","None",""
143,"FBgn0035574","143.1","Q8WQM0","RhoGEF64C","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
144,"FBgn0035461","144.1","None","None","None",""
145,"FBgn0004173","145.1","A0A1B2AK97","Mst84Db","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
146,"FBgn0050390","146.1","Q6IDG9","Sgf29","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
147,"FBgn0040940","147.1","None","None","None",""
148,"FBgn0003046","148.1","None","None","None",""
149,"FBgn0033668","149.1","A1Z8R0","exp","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
150,"FBgn0033130","150.1","Q7JZW3","Tsp42Ei","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
151,"FBgn0043550","151.1","Q4V3R4","Tsp68C","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
152,"FBgn0051920","152.1","None","None","None",""
153,"FBgn0050323","153.1","A0A0B4KFB1","CG30323","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
154,"FBgn0027885","154.1","None","None","None",""
155,"FBgn0022942","155.1","E2QD75","Cbp80","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
156,"FBgn0011770","156.1","None","None","None",""
157,"FBgn0032405","157.1","Q5BID6","firl","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
158,"FBgn0052438","158.1","M9PGC9","SMC5","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
159,"FBgn0040628","159.1","A0A0B4LHX0","CAH16","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
160,"FBgn0020496","160.1","A0A0B4KFT4","CtBP","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
161,"FBgn0033440","161.1","A1Z7Y4","CG10459","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
162,"FBgn0033081","162.1","Q7JX41","geminin","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
163,"FBgn0029929","163.1","A9YJI6","CG4593","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
164,"FBgn0038186","164.1","Q4QQ15","CG14362","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
165,"FBgn0261053","165.1","A0A0B4K655","Cad86C","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
166,"FBgn0033706","166.1","A1Z8V7","Vha36-2","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
167,"FBgn0032312","167.1","Q9VKN5","CG14071","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
168,"FBgn0051781","168.1","None","None","None",""
169,"FBgn0028888","169.1","Q8SZT2","CG4168","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
170,"FBgn0039466","170.1","E1JIZ3","CG5521","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
171,"FBgn0032032","171.1","Q9VLM9","CG17294","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
172,"FBgn0035689","172.1","Q8IG89","CG7376","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
173,"FBgn0038753","173.1","D0IQI0","CG4459","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
174,"FBgn0035186","174.1","Q9W0K3","CG13912","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
175,"FBgn0045442","175.1","None","None","None",""
176,"FBgn0036498","176.1","Q8T4F3","CG13455","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
177,"FBgn0050457","177.1","A1ZAR4","CG30457","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
178,"FBgn0037060","178.1","B7Z096","CG10508","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
179,"FBgn0031276","179.1","Q9VPS8","CG12506","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
180,"FBgn0052600","180.1","Q95T89","dpr8","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
181,"FBgn0260012","181.1","A1Z8S6","pds5","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
182,"FBgn0000482","182.1","B5RJG2","dor","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
183,"FBgn0259194","183.1","Q9VCM4","Ir94e","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
184,"FBgn0004859","184.1","D0IQI9","ci","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
185,"FBgn0037389","185.1","None","None","None",""
186,"FBgn0051855","186.1","Q8IP73","CG31855","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
187,"FBgn0030859","187.1","Q9VX29","CG12990","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
188,"FBgn0053233","188.1","Q86NP5","CG33233","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
189,"FBgn0003274","189.1","B7FNN6","RpLP2","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
190,"FBgn0039667","190.1","Q8IGU5","CG2010","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
191,"FBgn0032627","191.1","None","None","None",""
192,"FBgn0035392","192.1","Q7KV84","CG1271","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
193,"FBgn0053284","193.1","B7FNM2","CG33284","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
194,"FBgn0030318","194.1","Q9VYW6","rho-4","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
195,"FBgn0035049","195.1","A0A0B4JCU7","Mmp1","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
196,"FBgn0259150","196.1","None","None","None",""
197,"FBgn0053543","197.1","D0Z750","CG33543","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
198,"FBgn0000568","198.1","A0A0S0WIG6","Eip75B","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
199,"FBgn0011555","199.1","A8E6I8","thetaTry","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
200,"FBgn0036186","200.1","Q8T4B0","CG6071","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
201,"FBgn0038541","201.1","Q9VEG2","TyrRII","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
202,"FBgn0053547","202.1","A0A0B4K677","Rim","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
203,"FBgn0041111","203.1","A0A1W5PXG3","lilli","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
204,"FBgn0038012","204.1","Q9VGA7","CG10013","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
205,"FBgn0034658","205.1","Q9W2D1","Grx1t","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
206,"FBgn0032488","206.1","Q9VK18","CG16812","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
207,"FBgn0261373","207.1","B3DNG1","CG33228","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
208,"FBgn0030979","208.1","Q9VWM7","CG14190","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
209,"FBgn0031549","209.1","Q4V527","Spindly","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
210,"FBgn0000448","210.1","A0A0B4KEJ3","Hr3","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
211,"FBgn0032053","211.1","None","None","None",""
212,"FBgn0011225","212.1","A0A0B4KGX1","jar","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
213,"FBgn0035001","213.1","A4UZU8","Slik","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
214,"FBgn0035216","214.1","Q4V550","CG9168","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
215,"FBgn0032782","215.1","Q9VIW6","Rab9","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
216,"FBgn0053123","216.1","None","None","None",""
217,"FBgn0033548","217.1","None","None","None",""
218,"FBgn0037500","218.1","Q9VI98","CG17944","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
219,"FBgn0052311","219.1","M9PBJ1","zormin","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
220,"FBgn0011591","220.1","None","None","None",""
221,"FBgn0032670","221.1","Q9VJ98","CG5783","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
222,"FBgn0040814","222.1","Q9VU56","CG14113","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
223,"FBgn0032258","223.1","None","None","None",""
224,"FBgn0030409","224.1","Q9VYK9","CG15728","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
225,"FBgn0000320","225.1","M9ND38","eya","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
226,"FBgn0035033","226.1","Q9W140","CG3548","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
227,"FBgn0024288","227.1","A2VEZ2","Sox100B","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
228,"FBgn0036386","228.1","None","None","None",""
229,"FBgn0023091","229.1","M9PDD7","dimm","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
230,"FBgn0042187","230.1","A7DYY2","CG17234","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
231,"FBgn0041582","231.1","B7YZS3","tamo","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
232,"FBgn0036667","232.1","G2J5U1","kud","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
