"input_number","input","target_number","target","name","description","namespace"
100,"FBgn0002573","100.1","Q4QPR0","sens","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
101,"FBgn0002576","101.1","F6J941","lz","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
102,"FBgn0002609","102.1","Q56LA3","E(spl)m3-HLH","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
103,"FBgn0002631","103.1","Q56K49","E(spl)m5-HLH","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
104,"FBgn0002633","104.1","None","None","None",""
105,"FBgn0002707","105.1","B6UWQ6","mei-9","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
106,"FBgn0002723","106.1","A9YGG0","Met","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
107,"FBgn0002733","107.1","None","None","None",""
108,"FBgn0002734","108.1","None","None","None",""
109,"FBgn0002735","109.1","None","None","None",""
110,"FBgn0002775","110.1","I1V4X9","msl-3","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
111,"FBgn0002780","111.1","A0A0B4K7G4","mod","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
112,"FBgn0002781","112.1","A0A0B4K6B8","mod(mdg4)","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
113,"FBgn0002906","113.1","Q95SC9","Blm","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
114,"FBgn0002914","114.1","Q53YG3","Myb","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
115,"FBgn0002922","115.1","Q4V6U8","nau","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
116,"FBgn0002931","116.1","Q4V5A4","net","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
117,"FBgn0002932","117.1","E1JIG1","neur","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
118,"FBgn0002941","118.1","A0A0B4KHK6","slou","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
119,"FBgn0002973","119.1","M9PCN6","numb","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
120,"FBgn0002985","120.1","None","None","None",""
121,"FBgn0003002","121.1","None","None","None",""
122,"FBgn0003028","122.1","A9YIK2","ovo","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
123,"FBgn0003044","123.1","A0A0B4KEZ1","Pcl","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
124,"FBgn0003053","124.1","O46205","peb","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
125,"FBgn0003090","125.1","F2FB80","pk","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
126,"FBgn0003117","126.1","A0A0B4KH81","pnr","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
127,"FBgn0003118","127.1","N0D853","pnt","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
128,"FBgn0003129","128.1","None","None","None",""
129,"FBgn0003130","129.1","Q4V720","Poxn","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
130,"FBgn0003145","130.1","None","None","None",""
131,"FBgn0003189","131.1","A6YH32","r","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
132,"FBgn0003231","132.1","None","None","None",""
133,"FBgn0003254","133.1","A0A0B4KFC4","rib","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
134,"FBgn0003267","134.1","None","None","None",""
135,"FBgn0003270","135.1","None","None","None",""
136,"FBgn0003278","136.1","None","None","None",""
137,"FBgn0003300","137.1","A0A077HBM4","run","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
138,"FBgn0003334","138.1","A0A0B4K6M7","Scm","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
139,"FBgn0003339","139.1","A0A499GTR4","Scr","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
140,"FBgn0003345","140.1","A8JUY5","sd","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
141,"FBgn0003396","141.1","A0A0B4KFC0","shn","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
142,"FBgn0003411","142.1","None","None","None",""
143,"FBgn0003430","143.1","B4F600","slp1","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
144,"FBgn0003448","144.1","None","None","None",""
145,"FBgn0003459","145.1","A0A075BID9","stwl","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
146,"FBgn0003460","146.1","Q95T66","so","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
147,"FBgn0003483","147.1","L0CPM3","spn-E","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
148,"FBgn0003499","148.1","A0A0B4KGW2","sr","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
149,"FBgn0003507","149.1","A0A0B4K6J1","srp","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
150,"FBgn0003511","150.1","A0A126GV25","Sry-beta","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
151,"FBgn0003512","151.1","None","None","None",""
152,"FBgn0003513","152.1","E1JIM6","ss","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
153,"FBgn0003567","153.1","A0A0B4K6W1","su(Hw)","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
154,"FBgn0003598","154.1","E1JIJ9","Su(var)3-7","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
155,"FBgn0003607","155.1","None","None","None",""
156,"FBgn0003612","156.1","A0A0B4JCQ7","Su(var)2-10","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
157,"FBgn0003651","157.1","A0A0B4KFQ2","svp","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
158,"FBgn0003687","158.1","None","None","None",""
159,"FBgn0003715","159.1","None","None","None",""
160,"FBgn0003720","160.1","None","None","None",""
161,"FBgn0003732","161.1","None","None","None",""
162,"FBgn0003862","162.1","None","None","None",""
163,"FBgn0003866","163.1","None","None","None",""
164,"FBgn0003870","164.1","A0A0B4JD39","ttk","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
165,"FBgn0003896","165.1","P92031","tup","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
166,"FBgn0003900","166.1","A0A0B4LGC1","twi","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
167,"FBgn0003941","167.1","Q7JYK1","RpL40","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
168,"FBgn0003944","168.1","D8FT40","Ubx","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
169,"FBgn0003963","169.1","C1C573","ush","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
170,"FBgn0003964","170.1","M9PGS2","usp","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
171,"FBgn0003977","171.1","None","None","None",""
172,"FBgn0004050","172.1","M9PIU6","z","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
173,"FBgn0004053","173.1","None","None","None",""
174,"FBgn0004054","174.1","Q0IGT0","zen2","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
175,"FBgn0004101","175.1","A0A0B4LGL8","bs","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
176,"FBgn0004102","176.1","A0A4D6K2U2","oc","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
177,"FBgn0004110","177.1","B6IDS0","tin","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
178,"FBgn0004170","178.1","None","None","None",""
179,"FBgn0004198","179.1","B7Z0Y0","ct","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
180,"FBgn0004369","180.1","A0A0B4JDF4","Ptp99A","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
181,"FBgn0004394","181.1","C3KGP3","pdm2","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
182,"FBgn0004396","182.1","E5KZ10","CrebA","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
183,"FBgn0004401","183.1","D5AEL0","Pep","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
184,"FBgn0004463","184.1","None","None","None",""
185,"FBgn0004510","185.1","A0A0B4KHY6","Ets97D","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
186,"FBgn0004567","186.1","H5V8D4","slp2","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
187,"FBgn0004584","187.1","B7YZZ9","Rrp1","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
188,"FBgn0004595","188.1","A0A0B4K630","pros","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
189,"FBgn0004606","189.1","None","None","None",""
190,"FBgn0004607","190.1","C6SUY1","zfh2","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
191,"FBgn0004618","191.1","A0A0B4KGX3","gl","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
192,"FBgn0004644","192.1","None","None","None",""
193,"FBgn0004652","193.1","A0A0B4KG97","fru","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
194,"FBgn0004656","194.1","E1JJJ8","fs(1)h","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
195,"FBgn0004666","195.1","A0A0B4KFY1","sim","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
196,"FBgn0004795","196.1","A0A0B4LGB3","retn","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
197,"FBgn0004837","197.1","X2JAI1","Su(H)","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
198,"FBgn0004854","198.1","M9PHF0","B-H2","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
199,"FBgn0004855","199.1","A0A0B4K652","RpII15","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
200,"FBgn0004856","200.1","M9PGQ6","Bx42","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
201,"FBgn0004858","201.1","None","None","None",""
202,"FBgn0004859","202.1","D0IQI9","ci","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
203,"FBgn0004861","203.1","B1VJC0","ph-p","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
204,"FBgn0004862","204.1","Q53YH4","bap","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
205,"FBgn0004863","205.1","Q4V729","C15","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
206,"FBgn0004865","206.1","E3CTQ0","Eip78C","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
207,"FBgn0004870","207.1","M9PDT5","bab1","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
208,"FBgn0004878","208.1","A0A0B4KF48","cas","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
209,"FBgn0004880","209.1","Q24140","scrt","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
210,"FBgn0004892","210.1","None","None","None",""
211,"FBgn0004893","211.1","A4V047","bowl","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
212,"FBgn0004895","212.1","D3PFH7","FoxL1","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
213,"FBgn0004896","213.1","B4F603","fd59A","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
214,"FBgn0004897","214.1","A0A0B4LHW8","fd96Ca","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
215,"FBgn0004898","215.1","B4F606","fd96Cb","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
216,"FBgn0004907","216.1","A0A0B4KEH0","14-3-3zeta","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
217,"FBgn0004913","217.1","None","None","None",""
218,"FBgn0004914","218.1","A1A6R5","Hnf4","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
219,"FBgn0004915","219.1","M9PCM4","TfIIB","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
220,"FBgn0004919","220.1","A0A0B4K8B7","gol","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
221,"FBgn0004924","221.1","C6TPA7","Top1","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
222,"FBgn0005386","222.1","None","None","None",""
223,"FBgn0005410","223.1","None","None","None",""
224,"FBgn0005427","224.1","B6IDK3","ewg","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
225,"FBgn0005558","225.1","O96791","ey","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
226,"FBgn0005561","226.1","D1YSG9","sv","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
227,"FBgn0005596","227.1","A0A0B4KHA1","yem","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
228,"FBgn0005612","228.1","A0A0B4LGC4","Sox14","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
229,"FBgn0005613","229.1","None","None","None",""
230,"FBgn0005616","230.1","A4V038","msl-2","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
231,"FBgn0005617","231.1","A8B8E7","msl-1","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
232,"FBgn0005624","232.1","D0Z760","Psc","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
233,"FBgn0005630","233.1","None","None","None",""
234,"FBgn0005636","234.1","A0A0B4KEZ2","nvy","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
235,"FBgn0005638","235.1","A0A0B4LGG2","slbo","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
236,"FBgn0005642","236.1","None","None","None",""
237,"FBgn0005655","237.1","None","None","None",""
238,"FBgn0005658","238.1","A0A0S0WIJ8","Ets65A","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
239,"FBgn0005659","239.1","A0A0B4LHS8","Ets98B","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
240,"FBgn0005660","240.1","A8DYS7","Ets21C","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
241,"FBgn0005677","241.1","Q24027","dac","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
242,"FBgn0005694","242.1","A4V287","Aef1","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
243,"FBgn0005696","243.1","T2GG50","DNApol-alpha73","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
244,"FBgn0005771","244.1","X2J9V3","noc","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
245,"FBgn0008636","245.1","Q9GRX3","hbn","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
246,"FBgn0008646","246.1","Q9VFQ3","E5","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
247,"FBgn0008651","247.1","A0A0B4KH37","lbl","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
248,"FBgn0008654","248.1","None","None","None",""
249,"FBgn0010109","249.1","None","None","None",""
250,"FBgn0010228","250.1","A0A0B4LG36","HmgZ","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
251,"FBgn0010247","251.1","None","None","None",""
252,"FBgn0010278","252.1","B1PFA0","Ssrp","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
253,"FBgn0010280","253.1","A4V201","Taf4","None","ENSG,FLYBASENAME_GENE_ACC,FLYBASE_GENE_ID"
254,"FBgn0010282","254.1","None","None","None",""
255,"FBgn0010287","255.1","None","None","None",""
